,Tweet_ID,Tweet_Text,Emojis
31,1394142553998381056,"Let's be honest here Miss Philippines, Miss Thailand, Miss Peru and Miss India are the Best 'Miss Universe' we never had. ✨ #MissUniverse https://t.co/VCsNtbtmUs",:wink: :stuck_out_tongue_winking_eye: :smile: :information_desk_person: :joy:
32,1394141782754091009,"Zozi looked stunning, a Queen  🔥🔥🔥👌 #MissUniverse https://t.co/lwpXX3Wsz2",:wink: :thumbsup: :stuck_out_tongue_winking_eye: :joy: :heart_eyes:
33,1394141306402729985,thoughts about #MissUniverse 😬,:expressionless: :disappointed: :sleeping: :sleepy: :broken_heart:
34,1394140648874250241,Thank you Miss India for representing us all Asians in the Top 5! ❤️ #MissUniverse https://t.co/TwN8marPck,:wink: :stuck_out_tongue_winking_eye: :thumbsup: :heart_eyes: :smile:
35,1394140552237445125,"rabiya and amanda be like: ""let's get out of here girl, they don't deserve a queen like us"" #MissUniverse https://t.co/laAONGB6uw",:stuck_out_tongue_winking_eye: :wink: :joy: :smile: :eyes:
36,1394140221583810563,A dress for a Xhosa Queen. Your longest reigning Miss Universe. ZOZIBINI TUNZI #MissUniverse https://t.co/swLrHdrq8B,:thumbsup: :wink: :sparkling_heart: :heart_eyes: :clap:
37,1394139465535217666,CHANGE ATTIRE. 💁‍♀️  LOOK: #MissUniverse2020 co-host Olivia Culpo had 3 outfit changes during the 69th #MissUniverse coronation night.  Read more: https://t.co/rCFstSibcN https://t.co/L3WEirw8Jg,:stuck_out_tongue_winking_eye: :wink: :thumbsup: :sleepy: :joy:
38,1394138757708845057,"Miss Peru deserved it and we all know it. Her answers were consistent and objective, she's been one of the most transparent girls during the competition. #MissUniverse https://t.co/GAr6Zgni3t",:thumbsup: :wink: :smile: :muscle: :joy:
39,1394138676863504384,"Best and iconic top2, Lana del ray and ariana grande    #MissUniverse https://t.co/f0UZol1InR",:cry: :sob: :pray: :sparkling_heart: :broken_heart:
40,1394138647025250304,JENNIE KIM is trending Worldwide along with #MissUniverse candidates   JENNIE KIM FOR CALVIN KLEIN  #JENNIExCALVINKLEIN   #JENNIE @BLACKPINK https://t.co/CJswWK29Qg,:thumbsup: :smile: :wink: :clap: :blush:
41,1394138417273868290,SHE LOOKS SO GORGEOUS IN HER “sarimanok” INSPIRED GOWN 😭 sooo proud of u rabiya!! 🇵🇭  #MissUniverse https://t.co/osPk2PWxnT,:wink: :thumbsup: :sparkling_heart: :purple_heart: :yellow_heart:
42,1394138197756547078,69th #MissUniverse  is a total joke. 2nd runner up for Peru!! How? Huhu 💔   https://t.co/vAin7oKCwP,:wink: :thumbsup: :cry: :rage: :angry:
43,1394137918902390787,"Obviously, Rabiya went to the wrong Miss Universe. Imagine this answering the final questions? Ahhhh girl.  This year's #MissUniverse does not care, unfortunately. https://t.co/Gh3EvDHAp9",:wink: :thumbsup: :stuck_out_tongue_winking_eye: :cry: :smile:
44,1394137895095525377,Amanda and Rabiya were seen holding hands after the Miss Universe show. Masaya na ako! This is what only matters. #MissUniverse   Thailand 🇹🇭  x Philippines 🇵🇭 https://t.co/jN62CD6BWD,:thumbsup: :wink: :smile: :stuck_out_tongue_winking_eye: :clap:
45,1394137763985838081,"Fun fact: Miss Philippines and Miss Thailand are actually a super heroes, they've decided to join miss universe just for experience. Proud of u girls! 🧡💙  #MissUniverse https://t.co/oDBRm7omxf",:thumbsup: :clap: :blue_heart: :wink: :smile:
46,1394136627430117379,stop hate speech​ 🇹🇭💙 ❤️🇵🇭#MissUniverse https://t.co/a187T4H5Sy,:heart: :wink: :heartbeat: :sparkling_heart: :thumbsup:
47,1394136463210520576,Nasasad ako pag sinabing a beauty queen “failed” to reach top spots sa competition. A beauty queen still “achieves” so many dreams on her #MissUniverse journey! Why not highlight achievements rather than failures? ♥️,:cry: :broken_heart: :pensive: :sleepy: :thumbsup:
48,1394136277683871749,Ms. Peru is more deserving than Ms. Mexico.   #MissUniverse https://t.co/ixjZgmJCp2,
49,1394136064730689537,Why are Thailand and Puerto Rico not in the top 5? #MissUniverse https://t.co/2TjCgywCQF,:wink: :stuck_out_tongue_winking_eye: :thumbsup: :information_desk_person: :smile:
50,1394135949341204487,Save mother save lahat  #MissUniverse https://t.co/CAOn6x2Jfd,:joy: :sob: :cry: :broken_heart: :skull:
51,1394135828478054402,Philippines and Thailand holding hands together! 🥺💕 #MissUniverse https://t.co/372Oej3giU,:thumbsup: :wink: :stuck_out_tongue_winking_eye: :heart: :yellow_heart:
52,1394135511984492546,Zozi's look was everything!! 🇿🇦👑 #MissUniverse https://t.co/xZwprrI1EY,
53,1394135231750447106,"You did your BEST.  You made us proud.  In this challenging quest, You surely impressed the crowd.  ·  Congratulations to @amanda_obdam,  The TOP 10 Finalist Miss Universe 2020.  #MissUniverse  #MissUniverseThailand2020 https://t.co/e3jLhfZs3R",:heart: :thumbsup: :clap: :yellow_heart: :purple_heart:
54,1394135203740721160,"@MissUniverse For real? #MissUniverse Org, Team and Judges, is that your winning answer? Wtf. Peru deserves it. https://t.co/JrtemnCluJ",
55,1394135142621274112,Yo ate ghorl Olivia checking if the results in the card are right. #MissUniverse https://t.co/SR6mv4AQS2,:wink: :stuck_out_tongue_winking_eye: :smile: :joy: :thumbsup:
56,1394135028863410176,#PHILIPPINES’ Rabiya Mateo and Thailand’s Amanda Obdam holding hands backstage after both candidates weren’t able to get this year’s crown for their country.  So much love for these two! Any of them could’ve been a really amazing #MissUniverse queen. 🇵🇭🇹🇭👸🏻❤️ https://t.co/qWTlv6X79b,:thumbsup: :smile: :wink: :clap: :heart:
57,1394134913104814086,WHO is real winner according to U ? #MissUniverse Retweet 🔁                           like ❤️ https://t.co/OghmR9XGYJ,:smile: :wink: :heart_eyes: :heart: :yellow_heart:
58,1394134851981234176,I see #Missuniverse https://t.co/v8se7yWn5c,:wink: :joy: :stuck_out_tongue_winking_eye: :thumbsup: :confused:
59,1394133898460897281,My heart broke for her!!!!! She deserved to win💔  #MissUniverse #MissPerú https://t.co/VFgmLlJt6g,:wink: :thumbsup: :clap: :heart: :cry:
60,1394133880551010312,"I think we can all agree....  - Miss Universe 2018 sets the standard for the best Top 5 - Thailand production when it comes to beauty pageant is impeccable and the BEST.  With that being said, petition for Thailand to always be the host country.  #MissUniverse https://t.co/sHE6WpHCmN",:thumbsup: :clap: :wink: :raised_hands: :smile:
61,1394133863924846594,TOP TIER BATCH OF #MissUniverse https://t.co/ViD7xPwKmu,:clap: :muscle: :information_desk_person: :blue_heart: :purple_heart:
62,1394133835151908867,"I BELIEVE IN MISS UNIVERSE 2018 SUPREMACY🙇‍♀️. Best batch. Best host. Istg, every one of them can be a miss universe if only they competed in diff years. 🤦‍♂️  #MissUniverse https://t.co/gI0flO7Fx9",:wink: :thumbsup: :stuck_out_tongue_winking_eye: :ok_hand: :facepunch:
63,1394133225115553792,TOTALLY SCRIPTED AND ROBBED! This was posted 5months ago that all the sponsors will be from Latinas. Justice for Philippines 🇵🇭 Thailand 🇹🇭 India 🇮🇳 and Peru 🇵🇪 #MissUniverse https://t.co/SAtmjY8IGu,:wink: :thumbsup: :stuck_out_tongue_winking_eye: :heart_eyes: :smile:
64,1394133171118108675,"You did well, Congratulations Rabiya! You made all the Filipinos proud! ✨❤️ #MissUniverse https://t.co/IuuPXjLNVO",:clap: :thumbsup: :heart: :smile: :yellow_heart:
65,1394133158488993794,The birth of the new memes is the only best thing happened! #MissUniverse https://t.co/rkCCatwIEf,:joy: :stuck_out_tongue_winking_eye: :smile: :v: :heartbeat:
66,1394132667751411713,CONGRATULATIONS MISS UNIVERSE WELCOME TO OUR FAMILY MEXICO 🇲🇽 🇮🇳  ☆  ☆  ☆  ☆  ☆  ☆  ☆  ☆  ☆   ☆  ☆  ☆  ☆  ☆  ☆  ☆  ☆  ☆  ☆  ☆  ☆   ☆  ☆  ☆  #love #UrvashiRautela #MissUniverse #India #Mexico https://t.co/vSzpgrJc2v,:thumbsup: :clap: :wink: :stuck_out_tongue_winking_eye: :smile:
67,1394132579717058566,me trying to remember miss mexico’s winning answers   #MissUniverse https://t.co/hrpnb5UUnt,:wink: :joy: :stuck_out_tongue_winking_eye: :thumbsup: :smile:
68,1394132148681011207,Biggest joke of the year. Cannot hold hands but hugs are allowed. The sudden wearing of masks when they were just doing fine all throughout without masks.   #MissUniverse anona??? https://t.co/Idrd8Jnuy9,:wink: :joy: :flushed: :stuck_out_tongue_winking_eye: :smile:
69,1394132008201199625,“PHILIPPINES DIDN’T MAKE IT TO TOP 10” “THAILAND DIDN’T MAKE IT TO TOP 5” “INDIA TAKES 3RD RUNNER UP” “PERU TAKES 2ND RUNNER UP” “MEXICO WIN THE CROWN” “COOKING SHOW”  EVERYONE RIGHT NOW: #MissUniverse https://t.co/3DPmv7mijV,:wink: :thumbsup: :stuck_out_tongue_winking_eye: :smile: :clap:
70,1394131976387399684,Here is the winning reply by Miss Universe 2020 Andrea Meza from Mexico during the Q&amp;A portion of the competition.  Andrea was asked how would she have handled the COVID-19 pandemic if she were her country's leader. #MissUniverse #MissUniverse2020 https://t.co/7Jdo5NfeuY,
71,1394131696522387457,"MISS UNIVERSE 2018 REMAINS SUPERIOR. PERIODT!!!!! From the Production, the Final 5, and the Host!!!! #MissUniverse https://t.co/U1QOtg7IiB",
72,1394131693192110080,"Sana ibalik yung 2018 format ng Miss Universe. Hindi lang dahil nanalo si Catriona that time but because that was the best format ever!  Best stage rin that time and for me, strongest TOP 5 ever! Fair and square! 👑  #MissUniverse2020 #Philippines  #AribaRabiya #MissUniverse",:thumbsup: :clap: :smile: :wink: :muscle:
73,1394131551063928833,"✨2018 MU Supremacy ✨  they have the visuals and the brains. if they competed in different years, no doubt these queens will win ✨ #MissUniverse https://t.co/qwQViKMsjw",:wink: :thumbsup: :clap: :muscle: :smile:
74,1394131547955949571,"Philippines didn't get into top 10, Thailand not getting into top 5, Ms. Peru and Ms. India being robbed.  LITERALLY EVERYONE RN:  #MissUniverse https://t.co/kBLEezbOc2",:wink: :joy: :cry: :disappointed: :confused:
75,1394131396822769666,"I'm super happy and super proud of her, representing all powerful mexican women. CONGRATULATIONS you really deserve it. Viva México 🇲🇽🤩 #MissUniverse https://t.co/CVJGisBra7",:wink: :thumbsup: :cry: :stuck_out_tongue_winking_eye: :broken_heart:
76,1394131323892031491,Pinoys miss Steve Harvey as #MissUniverse pageant airs https://t.co/bzzXJesPAu,:thumbsup: :wink: :smile: :clap: :stuck_out_tongue_winking_eye:
77,1394131265033408512,A Miss Universe always stands on the left. #MissUniverse https://t.co/6xhher7Gs1,:joy: :thumbsup: :eyes: :skull: :information_desk_person:
78,1394130939605753858,Congratulations to the real Miss Universe. #MissUniverse https://t.co/u1vf469RFv,
79,1394130704586330113,Actually all of us never see this coming because we already knew on both Q&amp;A and Statement Portion miss peru already snapped it. There is something fishy here    #MissUniverse https://t.co/zkZK7iV8zs,:wink: :thumbsup: :cry: :clap: :broken_heart:
80,1394130491712970752,"still hoping for her safety on her way back to their country, she did a good fight  #MissUniverse https://t.co/5dAHQbQbYX",:wink: :confused: :rage: :thumbsup: :cry:
81,1394130429351845899,MEET THE NEW QUEEN.   Andrea Meza of Mexico is #MissUniverse2020! #MissUniverse   Read the full story here:  https://t.co/rQ8cMAD8p9 https://t.co/1V4dZa3Ncx,:thumbsup: :clap: :cry: :wink: :smile:
82,1394130398930739201,"NO SHADE TO MISS MEXICO BUT MISS PERU WAS SUCH A QUEEN WITH HER ANSWERS! Miss girl was robbed, she’s my #MissUniverse #MissPeru https://t.co/u6mAXaog7S",:wink: :stuck_out_tongue_winking_eye: :smile: :confused: :heart:
83,1394130097767022596,"I’m so sorry Miss Mexico but Olivia Culpo is the real winner for tonight. Best in reaction from start to end, meme worthy! #MissUniverse https://t.co/HtBBTuR9xL",:joy: :wink: :stuck_out_tongue_winking_eye: :thumbsup: :smile:
84,1394130071561019396,This year's Miss Universe summarized in three photos.  #MissUniverse https://t.co/oV7TVDGDH6,:joy: :wink: :thumbsup: :cry: :clap:
85,1394129989482713088,Rabiya's reaction after hearing the Q&amp;A.  We are still proud of you! #MissUniverse  #MissPhilippines https://t.co/u16MyK5wGf,:clap: :sparkling_heart: :blue_heart: :heart: :purple_heart:
86,1394129861233442818,"Imagine Peru, Philippines, Brazil, Thailand and India answering all those questions. #MissUniverse https://t.co/7v5c0JtJbG",:wink: :smile: :thumbsup: :cry: :muscle:
87,1394129761941680128,😍 Your new Miss Universe 🇲🇽#MissUniverse https://t.co/pwsbyQ7GcL,:wink: :joy: :stuck_out_tongue_winking_eye: :thumbsup: :cry:
88,1394129749778210816,venue: latino judges: latino music: latino tv partner: latino prod value: latino winner: latino  And thw cooking show was brought you by Telemundo! CHARENG lang! 🤣😂😅 #MissUniverse,:thumbsup: :wink: :eyes: :stuck_out_tongue_winking_eye: :sunglasses:
89,1394129684825210880,"idk what's with miss u but, hello? Miss Peru literally... 🤷‍♀️ #MissUniverse  https://t.co/0srwrvZHVm",:wink: :thumbsup: :joy: :stuck_out_tongue_winking_eye: :confused:
90,1394129634539675648,Our new #MissUniverse 👑 Congratulations Andrea! ❤ https://t.co/2ANBd8FT3p,:wink: :thumbsup: :smile: :clap: :cry:
91,1394129442826379267,Congratulations to Miss Mexico!!! 👑 #MissUniverse,:clap: :blue_heart: :sparkling_heart: :heart: :purple_heart:
92,1394129437227094021,BRING BACK STEVE HARVEY!!  BRING BACK STEVE HARVEY!!  BRING BACK STEVE HARVEY!!   #MissUniverse https://t.co/i7pn1v1pJo,:cry: :disappointed: :wink: :pensive: :broken_heart:
93,1394129406646317056,"Despite the standards and harsh words being thrown at her, Rabiya chose to seek for her own glow and refused to be an echo of the mainstream voice. And that, my dear, made her the winner of today's show ❤️ #MissUniverse #PHILIPINES",:wink: :stuck_out_tongue_winking_eye: :smile: :thumbsup: :smirk:
94,1394129309623668737,y'all can't deny that miss peru did great and she deserves that crown. robbed.  #MissUniverse https://t.co/JuvEULRVF6,:wink: :thumbsup: :stuck_out_tongue_winking_eye: :cry: :clap:
95,1394129281232490502,"Fun Fact: All Miss Universe winners from Mexico wore a red gown. Also, they were crowned in the USA.  Lupita Jones - 1991, Las Vegas Ximena Navarrete - 2010, Las Vegas Andrea Meza - 2020, Miami   #MissUniverse https://t.co/eEakyGP0Ek",:wink: :stuck_out_tongue_winking_eye: :thumbsup: :smile: :joy:
96,1394129185350717443,"JUDGES LATINA , HOST LATINA ,TOP 5 LATINA EXCEPT INDIA , PERFORMERS LATINA . GAGO LATINA EVERYWHERE  WHAT A COOKING SHOW HAHA YAN ANG TEAMWORK MAKE THE DREAM WORKS #MissUniverse https://t.co/cEcFcja0qK",:wink: :smile: :sparkles: :stuck_out_tongue_winking_eye: :thumbsup:
97,1394129087635988482,ms. india and rabiya were in the wrong pageant. they competed to a pageant exclusive for latinas.   #MissUniverse,:wink: :confused: :thumbsup: :rage: :cry:
98,1394128817665445890,I AM NOT FROM PERU BUT SHE REALLY DESERVES THAT MISS UNIVERSE CROWN — I SAID WHAT I SAID. HER ANSWER IS MORE CLOSER AND RELEVANT TO THE QUESTION 😭 #MissUniverse https://t.co/KNdUkp7gca,:thumbsup: :wink: :clap: :stuck_out_tongue_winking_eye: :joy:
99,1394128755858100225,Perfect year Perfect stage Perfect host Perfect top 5 Perfect Winner   #MissUniverse https://t.co/h7tSItG4v2,:wink: :thumbsup: :clap: :cry: :ok_hand:
100,1394128686228545537,"WORST EDITION OF MISS UNIVERSE EVER ! . NOT BECAUSE PHILIPPINES WAS'NT ON THE TOP , BUT THERE'S SOMETHING WRONG ON YOUR  SELECTION COMMITTEE. . PERU AND INDIA OBVIOUSLY GIVE THE BEST ANSWER AND FINAL WORD THEN WHY MEXICO WINS . I'M SO SHOCKED RIGHT NOW!  WHAAATTT ! #MissUniverse https://t.co/qsjDHIbjhX",:wink: :thumbsup: :joy: :stuck_out_tongue_winking_eye: :rage:
101,1394128654024777728,The whole world mad that mexico won y’all can cry about it #MissUniverse https://t.co/GF4SNGiQBm,:wink: :stuck_out_tongue_winking_eye: :thumbsup: :confused: :cry:
102,1394128561586380808,who else doesn’t remember miss mexico’s winning answers #missuniverse https://t.co/IuREjjPECs,:wink: :joy: :thumbsup: :cry: :confused:
103,1394128532905758721,"Sorry but, India or Peru is the real Winner.  #MissUniverse https://t.co/mjEE3VySls",:thumbsup: :wink: :information_desk_person: :cry: :confused:
104,1394128494167166977,"You mean, I woke up early to witness a cooking show instead of a beauty pageant? #MissUniverse https://t.co/TdiEOlrGEX",:wink: :thumbsup: :joy: :stuck_out_tongue_winking_eye: :smile:
105,1394128483140313092,"""Philippines didn't got in"" ""Thailand not in top 5"" ""India as third runner-up"" ""Peru as second runner-up""  #MissUniverse https://t.co/HXnkdACT9N",:stuck_out_tongue_winking_eye: :joy: :thumbsup: :wink: :flushed:
106,1394128268442292226,WHEN WE ALL ARE BETTING ON MISS INDIA OR MISS PERU AS THE NEXT MISS UNIVERSE THEN MEXICO GOT PICKED  #MissUniverse https://t.co/45GdMIUvAA,:joy: :thumbsup: :wink: :smile: :stuck_out_tongue_winking_eye:
107,1394128030440714240,Wtf! #MissUniverse is TRASH this year.  Me after realizing Miss Mexico won: https://t.co/kOjCSlAak8,:wink: :cry: :thumbsup: :skull: :stuck_out_tongue_winking_eye:
108,1394127985364508673,"Thailand hosted the best #MissUniverse in recent memory. From the stage, to the top 5 and making Ne-Yo serenade the top 3! That was very memorable💗 https://t.co/VKAcxEQZNN",:thumbsup: :clap: :raised_hands: :wink: :blush:
109,1394127943941509120,"Are you kidding us? This is definitely the WORST MISS U ever. Peru as 2nd Runner up? India as 3rd Runner up? These two were consistent in giving a very good answer. This is not they deserved! Peru should have been crowned as Miss U, while India as 1st runner up.    #MissUniverse https://t.co/sSmx2jRGLI",:wink: :rage: :stuck_out_tongue_winking_eye: :angry: :smile:
110,1394127928510849025,México won the #MissUniverse I'm so happy and proud 🇲🇽 thank you Andrea Meza!!! What a fucking QUEEN 👑 VIVA MEXICO #MissUniverse2021 #MissMexico https://t.co/pSYgzsRk3H,:wink: :stuck_out_tongue_winking_eye: :thumbsup: :clap: :joy:
111,1394127799607201794,ZOZI IS A FUCKING MOOD  #MissUniverse https://t.co/CuNfi40GZT,:wink: :smile: :joy: :stuck_out_tongue_winking_eye: :heartbeat:
112,1394127781861019653,I agree so much #MissUniverse https://t.co/L8NbN8KH37,:wink: :stuck_out_tongue_winking_eye: :thumbsup: :confused: :cry:
113,1394127717314949120,"""Tangina, Peru 2nd Runner-up?""   Olivia Culpo is such a mood. #MissUniverse https://t.co/I9aeWKevJt",:sob: :smile: :joy: :broken_heart: :cry:
114,1394127706975965185,so many stunning and quick-witted contestants were wasted on this embarrassing excuse of a pageant show .... i’m so sorry you had to compete in this edition #MissUniverse https://t.co/KAURhAvnWc,:thumbsup: :wink: :stuck_out_tongue_winking_eye: :clap: :joy:
115,1394127397004447754,The best things that happened tonight are the birth of these memes #MissUniverse https://t.co/BzPKUCh9Yr,
116,1394127268780273669,And the winner is ... Olivia Culpo for her legendary meme performance #MissUniverse https://t.co/1ENKZe6Ubu,:wink: :thumbsup: :stuck_out_tongue_winking_eye: :eyes: :sparkles:
117,1394127236588916737,Drop at least five replies here  G4Group THREEumph  @MissKareee #MissUniverse https://t.co/bmGzwANRNT,:thumbsup: :wink: :muscle: :sunglasses: :stuck_out_tongue_winking_eye:
118,1394127141613318146,A closer look at Zozibini Tunzi’s final walk and crowning dress. 😍  #MissUniverse #MissUniverseSouthAfrica https://t.co/8FBPTP3GeK,
119,1394127117957349377,Lowkey think India and Peru were robbed but congrats Mexico  #MissUniverse https://t.co/4TKrO4SxUT,:joy: :clap: :thumbsup: :cry: :wink:
120,1394127088186134532,its not miss peru or miss india?! #MissUniverse https://t.co/DOveRTBpgZ,:cry: :broken_heart: :rage: :angry: :stuck_out_tongue_winking_eye:
121,1394127087066238981,"To our new #MissUniverse Andrea, when it's your time, it's your time. 💙 Congratulations and welcome to the @MissUniverse sisterhood!!!! https://t.co/Dd20ilr3za",:wink: :thumbsup: :stuck_out_tongue_winking_eye: :smile: :clap:
